preschool,address,city,state,zip,provider_type,license_number,license_status_in_cdss_2025_export,licensed_capacity,phone,license_first_date,elfa_network_member,preschool_screening_rating,rating_basis,rating_limitations,address_source,cdss_facility_detail_url,cdss_dataset_url,elfa_directory_url,cdss_export_data_date,elfa_directory_access_date,latitude,longitude,geocode_matched_address,geocode_match_method,geocode_source,geocode_data_as_of
New Journey Mandarin Immersion Preschool & Childcare Center - Richmond Campus,3198 Fulton St,San Francisco,CA,94118,SINGLE LICENSED CHILD CARE CENTER,384004873,LICENSED,30,(415) 670-0996,11/8/2024,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004873,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7735722,-122.4657298,3198 FULTON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
New Journey Mandarin Immersion Preschool & Childcare Center - Sunset Campus,1278A 20th Avenue,San Francisco,CA,94122,DAY CARE CENTER,384004581,LICENSED,40,(415) 670-0996,9/8/2022,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004581,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7639507,-122.4778946,1278 20TH AVE,DataSF base address,DataSF Enterprise Addressing System,2026-09-21
Nihonmachi Little Friends - Nihonmachi Little Friends - Sutter Site,1830 Sutter St,San Francisco,CA,94115,DAY CARE CENTER,380504776,LICENSED,91,(415) 922-4060,6/1/1987,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504776,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7867168,-122.4305603,1830 SUTTER ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
One Fifty Parker - One Fifty Parker Avenue Nursery School,150 Parker Ave,San Francisco,CA,94118,DAY CARE CENTER,380500487,LICENSED,35,(415) 221-0294,6/29/1994,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380500487,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7828184,-122.4540976,150 PARKER AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Pacific Primary - Pacific Primary - Orange Sun Campus,1501 Grove St,San Francisco,CA,94117,DAY CARE CENTER,384001816,LICENSED,75,(415) 409-1961,8/26/2008,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001816,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7753545,-122.4416201,1501 GROVE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Pacific Primary - Pacific Primary Yellow Sun Campus (Grove Street),1500 Grove St,San Francisco,CA,94117,DAY CARE CENTER,380500491,LICENSED,80,(415) 346-0906,10/7/1974,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380500491,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.775657,-122.4417362,1500 GROVE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Pine United Methodist Church - ABC Preschool,"426 33rd Ave, 1st Flr",San Francisco,CA,94121,DAY CARE CENTER,380506527,LICENSED,35,(415) 387-9111,5/14/1996,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506527,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7810444,-122.4930799,426 33RD AVE,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
Potrero Kids - Potrero Kids at Daniel Webster (PKDW),465 Missouri St,San Francisco,CA,94107,DAY CARE CENTER,384001949,LICENSED,38,(415) 550-3300,7/9/2009,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001949,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7605213,-122.3958437,465 MISSOURI ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Potrero Space Preschool,824 Carolina St,San Francisco,CA,94107,DAY CARE CENTER,384004795,LICENSED,52,(415) 572-2747,12/29/2023,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004795,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7582356,-122.4003127,824 CAROLINA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Presidio Knolls School,250 10th St,San Francisco,CA,94103,DAY CARE CENTER,384002131,LICENSED,180,415-202-0770 x100,7/6/2011,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002131,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.77319,-122.4137055,250 10TH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Project Commotion - Las Luciernagas,2095 Harrison St,San Francisco,CA,94110,DAY CARE CENTER,384004459,LICENSED,12,(415) 252-8059,9/29/2021,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004459,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7643291,-122.4128821,2095 HARRISON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
"Roman Catholic Archbishop of San Francisco, The - St Paul's - St. Pauls Church-Littlest Angel Preparatory Preschool",221 Valley St,San Francisco,CA,94131,DAY CARE CENTER,380506430,LICENSED,38,(415) 824-5437,9/2/1994,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506430,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.744192,-122.4277424,221 VALLEY ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
San Francisco Community College District - SFCCD Mission Community College Center,1125 Valencia St,San Francisco,CA,94110,DAY CARE CENTER,384001721,LICENSED,40,(415) 452-5903,4/22/2008,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001721,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7547344,-122.4207481,1125 VALENCIA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
San Francisco Community College District - SFCCD Ocean Campus Child Development Lab School,50 Phelan Ave,San Francisco,CA,94112,DAY CARE CENTER,380506136,LICENSED,66,(415) 452-5903,3/29/1993,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506136,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7248891,-122.4522788,"50 PHELAN AVE, SAN FRANCISCO, CA, 94112",US Census address match,US Census Geocoder Public_AR_Current,2026-09-22
Seabird Preschool,9 Pelton Place,San Francisco,CA,94133,DAY CARE CENTER,384003094,LICENSED,61,(415) 932-6023,5/9/2019,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384003094,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7971757,-122.4078002,9 PELTON PL,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SF Tikes Academy,1133 South Van Ness,San Francisco,CA,94110,SINGLE LICENSED CHILD CARE CENTER,384004979,LICENSED,117,(415) 826-8222,3/28/2025,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004979,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.755067,-122.4162021,1133 SOUTH VAN NESS AVE,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Argonne,750 16th Ave,San Francisco,CA,94118,DAY CARE CENTER,384000981,LICENSED,66,(415) 750-8617,3/4/2002,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000981,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7739209,-122.4744442,750 16TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Bessie Carmichael,45 Cleveland St,San Francisco,CA,94103,DAY CARE CENTER,384001456,LICENSED,72,(415) 615-8450,6/10/2005,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001456,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7765271,-122.4063693,45 CLEVELAND ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Bret Harte,950 Hollister Ave,San Francisco,CA,94124,DAY CARE CENTER,380504340,LICENSED,60,(415) 330-1545,5/5/1992,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504340,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7183587,-122.3894939,950 HOLLISTER AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Bryant EES,2641 25th St,San Francisco,CA,94110,DAY CARE CENTER,380505800,LICENSED,69,(415) 695-5784,4/28/1992,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505800,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7517008,-122.4049502,2641 25TH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Commodore Stockton,1 Trenton St,San Francisco,CA,94108,DAY CARE CENTER,384002514,LICENSED,88,(415) 291-7932,8/13/2014,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002514,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7950912,-122.4089987,1 TRENTON ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Dr. Charles Drew,50 Pomona,San Francisco,CA,94124,SINGLE LICENSED CHILD CARE CENTER,384004869,LICENSED,92,(415) 330-1526,6/24/2024,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004869,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7317457,-122.3936712,50 POMONA ST,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Dr. William Cobb,2725 California St,San Francisco,CA,94115,DAY CARE CENTER,380504389,LICENSED,48,(415) 749-3544,3/6/1992,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504389,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7880257,-122.4395248,2725 CALIFORNIA ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - E.R. Taylor,423 Burrows St,San Francisco,CA,94134,DAY CARE CENTER,380505930,LICENSED,34,(415) 330-1530,4/24/1992,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505930,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7278264,-122.4073334,423 BURROWS ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Excelsior @ Guadalupe,859 Prague St,San Francisco,CA,94112,DAY CARE CENTER,384000310,LICENSED,72,(415) 469-4753,8/19/1997,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000310,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7102115,-122.4347009,859 PRAGUE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Grattan,165 Grattan St,San Francisco,CA,94117,DAY CARE CENTER,380504378,LICENSED,69,(415) 759-2850,1/3/1985,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504378,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7637748,-122.4504685,165 GRATTAN ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Jefferson PreK,1350 25th Ave,San Francisco,CA,94122,DAY CARE CENTER,380504419,LICENSED,56,(415) 759-2852,8/28/1984,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504419,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7623367,-122.4833174,1350 25TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - John McLaren,2055 Sunnydale Ave,San Francisco,CA,94134,DAY CARE CENTER,380504444,LICENSED,96,(415) 469-4519,12/15/1982,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504444,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7137867,-122.4232944,2055 SUNNYDALE AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - John Muir,380 Webster St,San Francisco,CA,94117,DAY CARE CENTER,380505931,LICENSED,36,(415) 241-6335,8/14/1992,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505931,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7737385,-122.4289342,380 WEBSTER ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Jose Ortega,400 Sargent St,San Francisco,CA,94132,DAY CARE CENTER,384002637,LICENSED,48,(415) 469-4726,8/27/2015,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002637,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7163638,-122.4665194,400 SARGENT ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Junipero Serra Annex,155 Appleton Ave,San Francisco,CA,94110,DAY CARE CENTER,380504560,LICENSED,67,(415) 920-5138,8/31/1984,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504560,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7387769,-122.4215278,155 APPLETON AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Las Americas,801 Treat St,San Francisco,CA,94110,DAY CARE CENTER,384000375,LICENSED,72,(415) 695-5746,1/15/1998,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000375,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7573093,-122.4133685,"801 TREAT AVE, SAN FRANCISCO, CA, 94110",US Census address match,US Census Geocoder Public_AR_Current,2026-09-22
SFUSD - Mission Education Center,1670 Noe St,San Francisco,CA,94131,DAY CARE CENTER,384003090,LICENSED,24,(415) 695-5313,8/20/2018,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384003090,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7422069,-122.4313353,1670 NOE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
SFUSD - Noriega,1775 44th Ave,San Francisco,CA,94122,DAY CARE CENTER,380504442,LICENSED,136,(415) 759-2853,11/18/1985,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504442,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7535598,-122.5035954,1775 44TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
